id,full_name,phone_number,aadhaar_number,pan_card_number,date_of_birth,address,city,state,pincode
10002,Himangshu Srivastava,6433218196,201338908386,FPVAU6319K,1969-03-03,"Flat 368, Sardar Lane",New Delhi,Delhi,110008
10003,Ganpat Arumugam,8931034131,847525534192,NGMHY6237B,1980-07-19,"Flat 7U, Vivekananda Niwas",Panaji,Goa,403001
10004,Amit Venkataraman,7388496965,528710122691,KPMGO9618Y,1983-12-09,"Flat 301, Shyam Nagar",Raipur,Chhattisgarh,492007
10005,Gourab Sundaram,7252880957,215430391171,ZNDRY1569R,1978-01-17,"H.No. 688, MG Lane",Bhubaneswar,Odisha,751005
10006,Karthik Gupta,7930103105,383473829973,UUECL4476U,1968-10-29,"820/8, Sardar Road",Nashik,Maharashtra,422005
10007,Raghavan Chakraborty,7178108013,467736026064,YUHSS7641G,1965-03-31,"59/16, Nehru Layout",Ludhiana,Punjab,141001
10008,Ananya Khan,6361939909,369985435346,DQLYY0650R,1979-02-14,"House No. 956, Indira Complex, Indira Road",Vijayawada,Andhra Pradesh,520003
10009,Biswajit Fernandes,6841241182,649353487401,QVBID9147R,1960-11-12,"House No. 559, Bose Heights, Nehru Lane",Bengaluru,Karnataka,560002
10010,Girin Yadav,8331586923,426025634216,WWFVL3720G,1995-09-30,"Flat 991, EVR Marg",Udaipur,Rajasthan,313003
10011,Kavya Venkataraman,7940196556,369340608835,LYXQR1956K,1996-02-06,"House No. 197, Bhagat Complex, Shyam Avenue",Gaya,Bihar,823003
10012,Meena Kothari,8777387214,713433200379,WBKQF6426A,1969-07-24,"Flat 8D, Netaji Niwas",Raipur,Chhattisgarh,492008
10013,Chandana Saha,8798687277,634873471434,IXCDJ1243O,1997-04-20,"Flat 16A, Vallabh Enclave",Nashik,Maharashtra,422002
10014,Elina Dalal,7734670656,472980699016,DMBJF3737N,1982-08-19,"S.No. 20, Periyar Cross",Srinagar,Jammu and Kashmir,190001
10015,Savita Iyer,6923271937,652991241904,OXJYF5826J,1970-11-10,"Flat 1N, Shyam Niwas",Dehradun,Uttarakhand,248001
10016,Ganesh Ali,9262849877,894531473799,RIMIM3225I,1960-11-28,"Flat 248, Periyar Avenue",Thiruvananthapuram,Kerala,695002
10017,Sneha Arumugam,7634957885,885574443135,DNTEF4795J,1969-01-07,"233, Indira Nagar, Nehru Area",Srinagar,Jammu and Kashmir,190002
10018,Lakshmi Bansal,9109477752,247116719022,VYCGO4567M,2000-06-01,"H.No. 313, Azad Layout",Siliguri,West Bengal,734003
10019,Ramesh Krishnan,7812067974,234471349361,OQXVB1375J,1999-05-26,"Flat 15C, Ram Apartment",Bengaluru,Karnataka,560068
10020,Bikash Patel,8013990490,478742967175,KICEK4647B,2000-10-20,"332/17, Ambedkar Avenue",New Delhi,Delhi,110007
10021,Komal Trivedi,9703482477,309324808613,ZXLDV4752P,2002-05-13,"393, Tilak Layout, Saraswati Area",Ahmedabad,Gujarat,380015
10022,Krishnamurthy Sharma,8499727875,788675339636,BTSVK6894B,1971-04-29,"891/4, Ambedkar Path",Vijayawada,Andhra Pradesh,520005
10023,Diya Ghosh,8596158657,291343161172,SXBUH3155Z,1976-02-26,"Flat 16S, Sardar Heights",Mangaluru,Karnataka,575002
10024,Himangshu Subramaniam,9407482175,664743671369,JHSAV3087B,2004-07-24,"# 622, Netaji Lane",Srinagar,Jammu and Kashmir,190003
10025,Gourab Hussain,6470952145,823285884247,ZHWUM0726V,1995-08-27,"Door No. 93, Vivekananda Bhavan, Netaji Avenue",Jammu,Jammu and Kashmir,180007
10026,Kamlesh Parikh,8137098593,374612004711,GNKJY6557N,1968-11-18,"H.No. 962, Tilak Niwas, Vivekananda Street",Srinagar,Jammu and Kashmir,190004
10027,Payal Hussain,8064317139,205329318393,VGUUP2995Z,1975-08-27,"Flat 6I, Indira Apartment",Bengaluru,Karnataka,560001
10028,Minal Srivastava,6775891783,284700766177,BCPBH6539Q,1986-06-16,"Flat 813, Periyar Towers, Kamaraj Road",Hyderabad,Telangana,500007
10029,Deepika Mukherjee,9615654527,311161528098,ORKWY4902J,1991-07-19,"673/4, Mohan Colony",Delhi,Delhi,110034
10030,Binita Sanghavi,6940244550,429612018366,LEIIY5817B,1967-04-27,"H.No. 498, Bhagat Path",Vadodara,Gujarat,390008
10031,Balakrishnan Rodrigues,9840369003,632445107622,JSNVU0800C,1988-02-01,"727, MG Avenue, Netaji Area",Chandigarh,Punjab,160009
10032,Kiran Pinto,8161369681,845352181883,XJSVV2116Y,1966-10-05,"Flat 11E, Azad Niwas",Chennai,Tamil Nadu,600091
10033,Chirag Ahmed,8490581477,205411998679,OUXLV6341B,2000-06-01,"517/2, MG Nagar",Delhi,Delhi,110051
10034,Ganesh Bhatt,8665905151,844925192546,DSCOQ3179V,1968-05-20,"19/6, Indira Marg",Bhopal,Madhya Pradesh,462016
10035,Diya Arumugam,6888059296,422927065379,HTLNI8483S,1999-07-12,"Flat 20E, Patel Complex",Hyderabad,Telangana,500005
10036,Rajesh Mahato,6814124782,813750606853,KCFIC7310P,1972-06-13,"S.No. 631, Gandhi Road",Ranchi,Jharkhand,834008
10037,Eshan Selvam,7410369711,998089324609,JOERN3957Q,1961-10-28,"651/9, Ram Lane",Varanasi,Uttar Pradesh,221010
10038,Uttam D'Souza,6952058527,922170430305,YNZOG7137U,1989-10-11,"Flat 11F, Vallabh Niwas",Vadodara,Gujarat,390002
10039,Rajesh Dey,8161692845,315447962757,BWJZH9906L,1974-05-09,"36/8, Rajiv Road",Pune,Maharashtra,411004
10040,Debarati Banerjee,8571928565,631027868144,SFPSZ2101W,1999-12-07,"Door No. 727, Laxmi Complex, Shivaji Cross",New Delhi,Delhi,110007
10041,Jalpa Rao,6323705895,982911467866,VBZQL6387U,1976-04-28,"515/4, Sardar Street",Raipur,Chhattisgarh,492003
10042,Dinesh Dey,8143842498,382992299590,VABQO6746P,1985-12-26,"Flat 2F, Netaji Niwas",Bhopal,Madhya Pradesh,462010
10043,Nilesh Iyengar,8925556258,353714732104,YWKZX8971F,2004-09-13,"901, Laxmi Path, Tilak Area",Vijayawada,Andhra Pradesh,520004
10044,Suresh Mishra,6479748016,445650609835,OBNTH9619M,1993-06-24,"774/20, Rajiv Colony",Dehradun,Uttarakhand,248006
10045,Subhas Shah,9872982595,469495888794,MAICK3886T,2002-07-30,"598, Mohan Nagar, Nehru Area",Surat,Gujarat,395004
10046,Pradip Srivastava,7075626368,902838578652,LNORW6824H,1985-01-11,"# 965, Kamaraj Niwas, Laxmi Marg",Kozhikode,Kerala,673003
10047,Balakrishnan Agarwal,9652404157,673384842199,GBXFG1346E,1960-06-18,"H.No. 669, Vallabh Path",Kozhikode,Kerala,673002
10048,Deben Tripathi,7802620672,600499154788,MYWMF1142F,1961-04-06,"Flat 14Q, Anna Enclave",Guwahati,Assam,781006
10049,Chandana Chauhan,7275304637,654990453017,HKNXS3192T,1979-10-24,"157/12, Gopal Layout",Tiruchirappalli,Tamil Nadu,620002
10050,Chinglen Rajan,6878519108,598225871397,CNVLN4048X,1961-12-14,"No. 764, Tilak Layout",Agra,Uttar Pradesh,282005
10051,Ananya Ghosh,6462265676,818251286823,VTZMS4324E,1984-09-23,"33, Netaji Avenue, Ambedkar Area",Coimbatore,Tamil Nadu,641006
10052,Arjun Banerjee,6306738302,639599534283,KHOPT1650L,1994-03-12,"419/13, Rajiv Marg",Dehradun,Uttarakhand,248006
10053,Binita Chakraborty,6866882634,551751830469,PWETS5483A,1979-01-01,"Flat 765, Kamaraj Towers, EVR Path",Coimbatore,Tamil Nadu,641006
10054,Harish Chakraborty,8445877175,555609320489,PKDIJ8466I,2003-11-02,"S.No. 472, Subhash Lane",Cuttack,Odisha,753006
10055,Minal Kumar,6006231203,950997700886,ANHZA8689D,1968-08-22,"# 197, JP Enclave, Bhagat Cross",Thiruvananthapuram,Kerala,695002
10056,Sumitha Mukherjee,7341016668,900217659180,FXROH9625V,1962-12-14,"985/5, Tilak Layout",Chennai,Tamil Nadu,600028
10057,Ishwar Parekh,8621850163,359996504773,JYLRR0677C,1984-01-15,"House No. 758, Ambedkar Residency, Ram Lane",Hubli,Karnataka,580029
10058,Neha Bansal,6267888610,358199560466,USOZG5612I,2004-03-28,"Flat 12I, Vivekananda Towers",Hubli,Karnataka,580002
10059,Manish Siddiqui,7712406596,775692459375,EKITQ9732Z,1995-04-02,"# 607, Bose Nagar",Kanpur,Uttar Pradesh,208002
10060,Chitra Kapadia,9243426617,996886805891,CGREP5669K,1998-08-14,"265, Tagore Cross, Gopal Area",Delhi,Delhi,110031
10061,Gargi Roy,7507146112,745738757177,IHVCW6619H,1975-08-26,"Door No. 574, Shyam Path",Kozhikode,Kerala,673002
10062,Bikash Siddiqui,7796603341,382553714785,PPPJV6872T,1967-08-09,"121, Tagore Marg, Shyam Area",Patna,Bihar,800003
